name,category,price,images,description
"Замовити будь-який товар з категорії Обвіси","Обвіси",1,"[""https://images.unsplash.com/photo-1492144534655-ae79c964c9d7?w=400&auto=format&fit=crop&q=70""]","Можна замовити абсолютно будь-який товар для будь-якої марки автомобіля! Телефонуйте: 097-602-0714 — і ми підберемо потрібний варіант саме для вашого авто. Доставка по всій Україні."
"Замовити будь-який товар з категорії OffRoad аксесуари","OffRoad аксесуари",1,"[""https://images.unsplash.com/photo-1492144534655-ae79c964c9d7?w=400&auto=format&fit=crop&q=70""]","Можна замовити абсолютно будь-який товар для будь-якої марки автомобіля! Телефонуйте: 097-602-0714 — і ми підберемо потрібний варіант саме для вашого авто. Доставка по всій Україні."
"Замовити будь-який товар з категорії Універсальні автоаксесуари","Універсальні автоаксесуари",1,"[""https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=400&auto=format&fit=crop&q=70""]","Можна замовити абсолютно будь-який товар для будь-якої марки автомобіля! Телефонуйте: 097-602-0714 — і ми підберемо потрібний варіант саме для вашого авто. Доставка по всій Україні."
"Замовити будь-який товар з категорії Хром накладки","Хром накладки",1,"[""https://images.unsplash.com/photo-1492144534655-ae79c964c9d7?w=400&auto=format&fit=crop&q=70""]","Можна замовити абсолютно будь-який товар для будь-якої марки автомобіля! Телефонуйте: 097-602-0714 — і ми підберемо потрібний варіант саме для вашого авто. Доставка по всій Україні."
"Замовити будь-який товар з категорії Шильдики","Шильдики",1,"[""https://images.unsplash.com/photo-1492144534655-ae79c964c9d7?w=400&auto=format&fit=crop&q=70""]","Можна замовити абсолютно будь-який товар для будь-якої марки автомобіля! Телефонуйте: 097-602-0714 — і ми підберемо потрібний варіант саме для вашого авто. Доставка по всій Україні."
"Замовити будь-який товар з категорії Шумовіброізоляція","Шумовіброізоляція",1,"[""https://images.unsplash.com/photo-1492144534655-ae79c964c9d7?w=400&auto=format&fit=crop&q=70""]","Можна замовити абсолютно будь-який товар для будь-якої марки автомобіля! Телефонуйте: 097-602-0714 — і ми підберемо потрібний варіант саме для вашого авто. Доставка по всій Україні."
"Замовити будь-який товар з категорії Електроніка","Електроніка",1,"[""https://images.unsplash.com/photo-1489686995744-f47e995ffe61?w=400&auto=format&fit=crop&q=70""]","Можна замовити абсолютно будь-який товар для будь-якої марки автомобіля! Телефонуйте: 097-602-0714 — і ми підберемо потрібний варіант саме для вашого авто. Доставка по всій Україні."
"Замовити будь-який товар з категорії Захист днища","Захист днища",1,"[""https://images.unsplash.com/photo-1492144534655-ae79c964c9d7?w=400&auto=format&fit=crop&q=70""]","Можна замовити абсолютно будь-який товар для будь-якої марки автомобіля! Телефонуйте: 097-602-0714 — і ми підберемо потрібний варіант саме для вашого авто. Доставка по всій Україні."
"Замовити будь-який товар з категорії Чохли","Чохли",1,"[""https://images.unsplash.com/photo-1492144534655-ae79c964c9d7?w=400&auto=format&fit=crop&q=70""]","Можна замовити абсолютно будь-який товар для будь-якої марки автомобіля! Телефонуйте: 097-602-0714 — і ми підберемо потрібний варіант саме для вашого авто. Доставка по всій Україні."
"Замовити будь-який товар з категорії Листовий пластик (для тюнінгу)","Листовий пластик (для тюнінгу)",1,"[""https://images.unsplash.com/photo-1492144534655-ae79c964c9d7?w=400&auto=format&fit=crop&q=70""]","Можна замовити абсолютно будь-який товар для будь-якої марки автомобіля! Телефонуйте: 097-602-0714 — і ми підберемо потрібний варіант саме для вашого авто. Доставка по всій Україні."
"Замовити будь-який товар з категорії Автомобільні диски","Автомобільні диски",1,"[""https://images.unsplash.com/photo-1492144534655-ae79c964c9d7?w=400&auto=format&fit=crop&q=70""]","Можна замовити абсолютно будь-який товар для будь-якої марки автомобіля! Телефонуйте: 097-602-0714 — і ми підберемо потрібний варіант саме для вашого авто. Доставка по всій Україні."
